ENSG	rep_01|CDS	rep_01|5utr	rep_01|3utr	rep_01|5utr|3utr	rep_01|intron	rep_01|intergenic	rep_01|noncoding_exon	rep_01|noncoding_intron
ENSG00000271412.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000173757.5	1.4990|4.04873	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.4396|1.64283	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000009335.13	1.5515|20.58165	NaN|0.00000	1.3291|3.66308	NaN|0.00000	0.7982|25.11434	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000185686.13	NaN|1.14788	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000111364.11	1.8696|14.44674	NaN|0.00000	0.3291|0.11080	NaN|0.00000	1.1192|4.76394	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225775.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000180155.14	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000224761.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.63216
ENSG00000272468.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000239857.2	NaN|0.08587	NaN|0.00000	NaN|0.28238	NaN|0.00000	-1.0188|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251252.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000180919.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000113593.7	1.6983|9.41696	NaN|0.28238	NaN|0.00000	NaN|0.00000	-0.0305|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000225311.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000165197.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000207608.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000235786.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.5992|1.03826
ENSG00000230945.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000272634.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000136828.14	1.0210|1.21593	NaN|0.00000	0.1916|0.03028	NaN|0.00000	0.0285|0.05305	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000173597.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000100336.13	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000183977.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000099812.6	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000263089.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000227330.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-3.7584|0.00000
ENSG00000132718.7	NaN|0.48333	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000179965.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.1364|0.02668	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000205358.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000213702.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000177034.10	0.5921|0.50317	NaN|0.00000	-0.0335|0.00000	NaN|0.00000	0.5921|0.34406	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000233457.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000272599.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	3.6510|1.24163	NaN|0.00000
ENSG00000173276.9	1.7958|21.03645	0.3291|0.18158	-0.0494|0.00000	NaN|0.00000	-0.1184|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000013810.14	1.2456|9.73180	NaN|0.48333	NaN|0.00000	NaN|0.00000	0.8651|3.40477	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000259772.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000203288.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.48333	NaN|0.00000
ENSG00000250565.2	NaN|0.00000	NaN|1.30545	NaN|0.00000	NaN|0.00000	1.5084|6.73950	NaN|0.00000	NaN|0.00000	1.1067|0.80947
ENSG00000104755.10	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000165192.9	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000227032.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000253799.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000214432.5	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254912.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000261276.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000072958.4	1.0515|1.89510	NaN|0.00000	NaN|0.28238	NaN|0.00000	0.3291|0.39452	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000159186.4	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000138674.12	1.0314|4.83333	1.1462|2.36328	NaN|0.00000	NaN|0.00000	1.8526|83.89746	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000244734.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000233388.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000068724.11	0.4446|0.24590	NaN|1.30545	NaN|0.48333	NaN|0.00000	-0.2226|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000266850.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.0632|0.00000
ENSG00000236565.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000235661.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000129071.5	1.7102|11.34683	NaN|0.00000	NaN|0.00000	NaN|0.00000	0.8766|0.90487	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000235884.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000185518.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-4.7153|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000224402.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000264743.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000174016.7	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-3.4783|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000232772.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000203813.4	1.0881|1.38065	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000042813.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-3.6709|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000231437.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000182544.8	NaN|0.28238	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000199122.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000162843.13	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-4.1304|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000251600.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000254842.2	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000133962.3	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.6068|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000258857.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.48333
ENSG00000164934.9	1.6286|3.27956	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.8726|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000033327.8	1.4446|1.22468	NaN|0.00000	NaN|0.00000	NaN|0.00000	-0.1587|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000229389.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
ENSG00000230645.1	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000	NaN|0.00000
